,GDP_water_all,perc_fff,d_plan,w_plan,base_w_stress,invest,tax_break,corruption,perc_vote,innovate,climate_real,hs_ed,pop_dens,w_quality,debt,flood_pop,flood_build,flood_car,impervious,beds_1000,alone_65,child_5,health_ins,older_1999,mobile_home,rent_50plus,trees,heating,disabled,poverty,older_1979,work_outside,no_car,pop_under_1ft,pop_under_3ft,impact_plus1ft,impact_plus3ft,lat,long,city_km2,pop_2015,median_income
213,12.72197593,17.61747006,0,0,4.530804084,21,1,0,0.5259051889999999,0.000546824,41,12.6,665.6023032,6,1691.17,9.84,9.6,1.588629245,28.06487924,7.919068172,9.6999867,7.2,82.4,92.64,0.5,23.0,12.38579178,0.997,10.7,12.094783,78.8,10.14,12.1,0.0,0.0,0.0,0.0,40.7608,-111.891,286.47587169999997,190679,47243
214,13.19363105,0.053832044,1,1,5.0,21,7,29,0.514537186,9.75e-05,46,18.6,1151.066722,13,3538.4,10.6,11.96,10.00114156,29.07096453,5.259990056,8.3508478,7.3,80.6,79.6,1.6,22.8,29.11694194,0.9940000000000001,14.0,17.0012995,49.2,13.39,9.0,0.0,0.0,0.0,0.0,29.4241,-98.4936,1228.322367,1413881,46744
215,11.19193384,0.18041148199999998,1,1,4.112264778,0,0,53,0.551167119,0.000103591,47,31.8,1391.1328740000001,0,1026.44,5.32,5.9,13.97587629,33.44990446,3.596248692,7.502605099999999,8.4,79.1,93.46,6.4,36.7,2.9760258210000003,0.965,13.1,28.9822855,67.5,18.88,11.8,0.0,0.0,0.0,0.0,34.1083,-117.2898,153.9119692,214112,37047
216,30.81294069,0.785961108,0,1,5.0,0,0,53,0.63438151,0.000679088,44,10.9,1935.127211,3,0.0,6.91,5.8,6.564856845,43.35909974,4.270011662,12.1865022,6.7,88.1,91.61,5.1,24.8,5.018740845,0.973,11.0,7.838358199999999,70.5,10.76,6.5,0.128559491,0.18549298,0.004463336,0.006818172,34.2746,-119.229,56.27485334,108899,66995
217,11.948878599999999,1.012821263,0,0,3.6864170730000003,0,4,7,0.574847277,0.0016940229999999998,45,12.7,1595.26207,0,1927.35,73.52,79.42,6.652026397999999,35.80810976,3.157838227,8.0269475,6.4,85.9,88.4,1.2,26.1,5.458818036,0.943,8.9,7.2547213,58.7,8.73,7.2,0.494414215,0.787621039,0.00075884,0.004778569,32.7157,-117.1611,852.3934877,1359791,66116
218,10.49677557,0.244145013,0,1,5.0,20,6,12,0.559041888,0.0015366989999999999,55,13.0,6955.040792,0,8499.72,82.7,83.61,0.16191319,61.22999226,5.126295995,10.2347383,4.5,91.5,92.21,0.2,20.8,12.93611158,0.956,10.5,6.3506441,82.5,6.85,30.5,0.322445208,0.544267528,0.00045526599999999996,0.0006633339999999999,37.7749,-122.4194,120.88541609999999,840763,81294
219,26.12850839,0.131905438,0,1,4.283326936,20,3,12,0.504133434,0.007799699,48,17.3,2188.0392079999997,0,3631.49,17.22,18.08,64.36537645,39.31848581,1.25691905,6.6405343,6.8,89.1,88.79,3.3,26.3,10.02539672,0.986,8.3,8.170933900000001,64.9,11.31,5.4,0.32891713100000003,0.506064784,0.001747751,0.002148785,37.3382,-121.8863,457.4232473999999,1000860,84647
221,10.45625624,0.19489986,0,0,5.0,0,0,53,0.35164403,0.000914935,45,45.2,4687.597927000001,8,1070.72,9.24,9.1,29.94405288,64.427433,1.542302291,5.2770978,8.1,72.5,96.57,5.4,31.3,3.4806454060000003,0.8370000000000001,8.9,18.6283559,80.7,25.46,6.9,0.0,0.0,0.0,0.0,33.7455,-117.8677,71.09568807,333268,52253
222,26.12850839,0.91369956,0,1,4.66866597,0,2,12,0.45515710299999995,0.007799699,48,8.1,2571.623049,0,4015.0,66.34,65.56,84.52922185,62.08282371,2.69415196,6.4973638,7.6,91.9,87.43,0.2,22.8,7.828935447,0.986,7.2,3.9716345,69.6,6.04,5.3,0.159012639,0.27353469399999997,0.000393849,0.000542805,37.3541,-121.9552,47.19743045,121374,98914
223,10.45625624,0.15107421699999998,0,1,5.0,0,0,53,0.49157894700000004,0.000361114,48,11.0,1322.24014,0,238.39,10.2,10.73,10.16959823,26.02191074,1.322589608,7.7354128,5.9,88.6,86.58,3.8,24.1,7.79155282,0.99,9.8,5.1327492999999995,38.6,9.26,4.4,0.0,0.0,0.0,0.0,34.3917,-118.5426,136.0947944,179950,83554
224,18.904498699999998,0.083262997,0,0,2.723934827,0,0,12,0.6912679559999999,0.00047063300000000003,49,14.3,1618.316452,0,2697.55,36.82,36.24,11.40749469,32.51464677,2.969790662,12.8198727,6.0,87.5,85.5,3.4,26.7,17.77849887,0.9940000000000001,12.3,9.504119300000001,53.9,15.05,6.3,0.0,0.0,0.0,0.0,38.4404,-122.7141,106.32407509999999,172066,61050
225,22.46623605,2.090470446,0,1,1.937889288,19,0,1,0.42295862799999995,0.00010025399999999999,45,14.0,506.02828830000004,1,1362.63,16.25,16.41,37.04320084,15.02155597,8.634261365,10.8129096,6.7,79.4,85.93,1.8,30.6,39.35766286,0.996,13.6,17.358612100000002,67.7,13.81,12.9,0.0,33.679916600000006,0.310262916,0.332886253,32.0835,-81.0998,282.432827,142919,36466
226,11.40665915,0.22925188,0,0,1.7295867530000002,21,3,18,0.650438403,0.000429552,44,3.8,477.3979699,0,2867.35,1.18,1.28,9.546355428,17.04473258,3.969736802,12.6103257,4.2,92.0,82.47,1.0,20.6,2.174881183,0.997,9.9,4.454034200000001,32.7,3.44,4.2,0.0,0.0,0.0,0.0,33.4942,-111.9261,476.4808699,227471,73288
227,14.90240839,0.12211902300000001,1,0,4.60448598,21,4,5,0.669829245,0.002031034,49,6.6,2500.758695,13,5029.53,27.0,27.43,1.311914498,44.61820853,5.692041708,9.284873900000001,5.2,91.2,82.3,0.4,20.1,16.09859066,0.9890000000000001,9.4,10.8898875,66.5,5.72,16.4,13.22936463,13.32369601,0.009662421,0.009912005,47.6062,-122.3321,261.12755350000003,653017,70594
228,11.10429448,0.17306329899999998,0,0,2.719952662,16,1,6,0.642261372,6.28e-05,44,14.5,637.8669949,10,2948.23,11.55,11.1,28.56635536,27.04257503,13.38899583,11.1406452,7.5,83.4,89.3,2.9,25.8,37.15402516,0.997,14.1,18.9664516,70.6,12.91,11.8,0.0,0.0,0.0,0.0,32.5252,-93.7503,313.56850499999996,200015,38583
229,30.81294069,0.158958355,0,0,0.0,0,1,53,0.556754077,0.000679088,44,9.5,1157.160284,12,648.4,11.56,12.93,9.827550556,22.68927288,1.1419236659999998,8.3793958,5.7,90.1,86.22,1.8,27.9,7.183700328,0.98,9.5,4.9342419,53.1,9.09,3.6,0.0,0.0,0.0,0.0,34.2694,-118.7815,108.97626000000001,126103,90210
230,0.0,0.257900134,0,1,5.0,0,0,6,0.713469417,0.00011176799999999999,38,9.1,867.7488304,0,490.18,9.39,8.42,24.11802634,27.73787961,7.003730049,8.8559309,8.1,90.2,74.27,4.1,17.8,7.162922066,0.992,10.3,11.542921699999999,46.6,10.75,6.0,0.0,0.0,0.0,0.0,43.5446,-96.7311,189.3877517,164341,52494
231,22.76958327,0.150414192,0,0,3.032913698,0,0,7,0.763020798,0.000370445,40,16.5,935.7536207,0,1654.67,3.8,3.87,8.153115509,37.54131614,4.423898996,11.5772663,8.0,83.6,94.41,1.0,26.5,14.12404368,0.998,15.1,21.9301359,82.2,11.82,13.4,0.0,0.0,0.0,0.0,41.6764,-86.25200000000001,107.4962445,100590,34523
232,8.888985482,0.09205772,0,0,4.594862664,19,0,0,0.6741172790000001,0.000216292,42,8.4,1338.508446,0,1093.88,15.93,16.6,3.90604501,38.86728425,6.545005814,11.825662199999998,6.9,88.4,89.97,1.5,27.1,10.53657689,0.997,15.8,24.280154800000002,73.4,10.52,11.0,0.0,0.0,0.0,0.0,47.6588,-117.426,157.41028799999998,210695,42386
233,3.3705322580000003,0.314340155,0,0,2.411557571,15,0,0,0.84182677,0.000185915,39,9.2,694.7445094999999,0,2208.7,12.14,10.86,14.02127552,32.01676113,8.175224883,13.2081068,6.3,91.2,89.53,4.3,26.9,14.98016318,0.995,15.3,16.5279288,66.1,8.46,9.9,0.0,0.0,0.0,0.0,39.7817,-89.6501,168.49503430000001,117061,49868
234,13.00469669,0.141276195,0,0,3.97435573,19,1,16,0.631503033,0.000209383,43,23.6,1811.88414,9,1846.55,4.93,4.63,15.61417482,37.50232734,7.690958577000001,10.475522999999999,7.1,94.6,95.57,0.8,36.3,32.01212554,0.9940000000000001,19.5,39.1434836,86.2,11.98,22.7,0.0,0.0,0.0,0.0,42.1015,-72.5898,84.96514573,153947,34728
235,11.6931102,0.928379752,0,0,1.58334778,20,0,6,0.7578432279999999,8.47e-05,39,11.7,775.8044855,0,2194.46,9.59,8.59,4.803305993,35.71021599,11.02813212,12.5441994,5.9,82.9,87.57,2.3,26.2,13.44047715,0.998,15.2,15.6563956,61.4,10.87,8.9,0.0,0.0,0.0,0.0,37.209,-93.2923,211.0879778,163763,33557
236,15.48269021,0.30748032,0,0,2.347748518,15,2,5,0.685283491,0.000324052,52,15.9,1878.833848,0,4580.42,8.86,10.07,9.850448745,53.11672613,9.602013527999999,10.672494699999998,6.7,83.4,94.85,0.4,28.1,8.929001431,0.997,15.0,25.1291605,88.6,10.07,21.7,0.0,0.0,0.0,0.0,38.626999999999995,-90.1994,169.1740865,317850,35599
237,15.47035723,0.156935745,0,0,0.0,20,2,4,0.719732527,0.000771694,47,13.5,2028.2001489999998,0,2367.59,41.92,44.74,6.647464565,43.16896381,5.812712045,8.808900099999999,7.8,89.4,93.53,0.2,26.4,11.87940367,0.9890000000000001,12.0,19.4684391,82.7,9.04,14.3,0.0,0.0,0.0,0.0,44.9537,-93.09,145.4703571,295043,48757
238,8.723979737,0.246806138,0,1,0.68334697,0,0,27,0.7361405809999999,0.00027483200000000003,45,10.5,1475.280855,0,1370.69,18.67,17.06,44.41685206,36.76594704,5.3846429979999995,12.600172599999999,5.0,83.8,93.2,3.1,25.2,24.79299682,0.9890000000000001,13.2,15.3495253,78.4,9.14,10.3,6.830120496,11.43977377,0.064391662,0.10269467800000001,27.7518,-82.6267,169.9425565,250713,45748
239,9.990497827,0.334346003,0,1,3.1658515389999997,20,0,6,0.7200908420000001,0.000676608,45,11.0,1285.334708,0,3210.67,8.22,8.33,19.17717624,22.37547393,2.409314965,10.678247500000001,6.7,85.7,88.59,0.0,25.7,49.07206155,0.998,8.3,9.4350066,65.9,14.75,11.1,1.173849848,2.939364257,0.006093815,0.010430255,41.0534,-73.5387,98.48952119,126592,79359
240,19.33395333,0.236837847,0,1,4.094523588,0,1,4,0.703528523,0.00041535599999999997,36,13.2,1385.8811660000001,0,457.97,10.67,11.62,7.188890177999999,45.44144561,7.26709827,11.243022400000001,5.1,89.7,89.57,3.3,25.8,11.05966175,0.997,13.0,14.2585551,62.3,8.37,5.2,0.0,0.0,0.0,0.0,42.5803,-83.0302,94.62499614,131139,60089
241,18.67837113,0.197628458,0,0,0.0,16,0,14,0.502259581,0.000132665,47,25.1,1806.169363,2,1401.05,10.49,10.29,11.56682586,46.2456904,1.8884165990000001,8.2053224,7.9,84.6,81.82,1.0,33.3,6.650735313999999,0.992,12.7,19.940501899999997,55.0,18.85,10.0,0.0,0.0,0.0,0.0,37.9577,-121.2908,165.9434636,299722,44797
242,26.12850839,3.4535283530000003,0,1,4.478620174,0,1,12,0.575827227,0.007799699,48,8.6,2630.585913,8,704.32,6.98,7.28,9.003449016,53.22553905,4.393364737,7.1241878,8.2,91.9,91.32,7.1,16.5,8.60522237,0.9890000000000001,6.6,3.8751951,67.9,6.51,5.0,1.332181565,1.3558018059999999,0.000949828,0.0011093989999999998,37.3688,-122.0363,56.32889588,148178,105401
243,11.40665915,0.031233326000000002,0,0,4.283326936,0,0,18,0.665526091,0.000429552,44,7.1,452.57354979999997,0,433.88,2.5,2.56,6.25480252,10.90759182,0.0,10.378656699999999,6.7,92.1,33.45,4.5,22.4,1.330341025,0.997,11.6,8.1258046,4.2,9.03,2.8,0.0,0.0,0.0,0.0,33.6292,-112.3679,273.5754223,123813,59916
244,17.54601614,0.12225698800000001,0,1,4.660237549,17,0,4,0.5287839910000001,0.000416396,41,19.8,2192.967875,3,2071.71,3.11,3.19,1.775579698,44.52445313,9.767300296,11.2484255,7.0,90.3,98.0,0.2,33.2,17.33385342,0.993,15.4,31.6971213,91.0,10.35,28.8,0.0,0.0,0.0,0.0,43.0481,-76.1474,65.92162233,144564,31881
