"city","state","geo.id","region"
"Virginia Beach","VA","1600000US5182000","Southeast"
"Visalia","CA","1600000US0682954","West"
"Waco","TX","1600000US4876000","South"
"Warren","MI","1600000US2684000","Upper Midwest"
"Washington","DC","1600000US1150000","Northeast"
"Waterbury","CT","1600000US0980000","Northeast"
"West Covina","CA","1600000US0684200","West"
"West Jordan","UT","1600000US4982950","Southwest"
"West Palm Beach","FL","1600000US1276600","Southeast"
"West Valley City","UT","1600000US4983470","Southwest"
"Westminster","CO","1600000US0883835","Southwest"
"Wichita","KS","1600000US2079000","South"
"Wichita Falls","TX","1600000US4879000","South"
"Wilmington (DE)","DE","1600000US1077580","Northeast"
"Wilmington (NC)","NC","1600000US3774440","Southeast"
"Winston-Salem","NC","1600000US3775000","Southeast"
"Worcester","MA","1600000US2582000","Northeast"
"Yonkers","NY","1600000US3684000","Northeast"
