"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Dallas","TX","1600000US4819000","Houston, TX","Tulsa, OK","San Antonio, TX","Wichita, KS","El Paso, TX","Indianapolis, IN","Fort Wayne, IN","Phoenix, AZ","Tampa, FL","Alexandria, VA","Norfolk, VA","Fresno, CA","Stockton, CA","Concord, CA","Spokane, WA"
"Daly City","CA","1600000US0617918","San Francisco, CA","Pasadena (CA), CA","Torrance, CA","Downey, CA","West Covina, CA","Norwalk, CA","Fullerton, CA","Orange, CA","Huntington Beach, CA","Seattle, WA","Billings, MT","Dallas, TX","Washington, DC","Cape Coral, FL","Burlington, VT"
"Davenport","IA","1600000US1919000","Des Moines, IA","Fargo, ND","Little Rock, AR","Huntsville, AL","Denton, TX","Charlotte, NC","Lafayette, LA","Killeen, TX","Clearwater, FL","Salt Lake City, UT","West Palm Beach, FL","Victorville, CA","Reno, NV","Lancaster, CA","Anaheim, CA"
"Dayton","OH","1600000US3921000","Toledo, OH","Detroit, MI","Knoxville, TN","Clarksville, TN","Buffalo, NY","Rochester (NY), NY","Syracuse, NY","Springfield (MO), MO","Jackson, MS","Gainesville, FL","Carrollton, TX","Beaumont, TX","Waco, TX","Colorado Springs, CO","Boise City, ID"
"Denton","TX","1600000US4819972","Huntsville, AL","Springfield (IL), IL","Lexington-Fayette, KY","Dayton, OH","Clearwater, FL","Charlotte, NC","Salt Lake City, UT","Durham, NC","Port St. Lucie, FL","Carlsbad, CA","Anaheim, CA","Newport News, VA","Costa Mesa, CA","Hampton, VA","Lancaster, CA"
"Denver","CO","1600000US0820000","Arvada, CO","West Valley City, UT","Fort Worth, TX","Irving, TX","Garland, TX","Moreno Valley, CA","Ontario, CA","Visalia, CA","Sacramento, CA","Richmond (CA), CA","Portland (OR), OR","Tacoma, WA","Chattanooga, TN","Raleigh, NC","Manchester, NH"
"Des Moines","IA","1600000US1921000","Peoria (IL), IL","Wichita, KS","Fargo, ND","Little Rock, AR","Killeen, TX","Lafayette, LA","Salt Lake City, UT","Cambridge, MA","Portland (ME), ME","West Palm Beach, FL","Victorville, CA","Reno, NV","Lancaster, CA","Anaheim, CA","Salem, OR"
"Detroit","MI","1600000US2622000","Toledo, OH","Rochester (NY), NY","Syracuse, NY","Clarksville, TN","Hartford, CT","Jackson, MS","Gainesville, FL","Denton, TX","Carrollton, TX","Beaumont, TX","Colorado Springs, CO","Hialeah, FL","Boise City, ID","San Juan, PR","Burbank, CA"
"Downey","CA","1600000US0619766","Norwalk, CA","Fullerton, CA","West Covina, CA","Garden Grove, CA","Corona, CA","Fontana, CA","Oxnard, CA","Billings, MT","Austin, TX","Dallas, TX","Cincinnati, OH","Anchorage, AK","Yonkers, NY","Burlington, VT","Honolulu, HI"
"Durham","NC","1600000US3719000","Newport News, VA","Hampton, VA","Murfreesboro, TN","Birmingham, AL","Boston, MA","Port St. Lucie, FL","Springfield (IL), IL","Omaha, NE","Lincoln, NE","Mesquite, TX","Denver, CO","Carlsbad, CA","Costa Mesa, CA","Everett, WA","Vancouver, WA"
"El Monte","CA","1600000US0622230","Inglewood, CA","Amarillo, TX","Brownsville, TX","Baton Rouge, LA","Milwaukee, WI","Miami Gardens, FL","Hialeah, FL","Miami, FL","Wilmington (DE), DE","Philadelphia, PA","Elizabeth, NJ","Newark, NJ","Paterson, NJ","New Haven, CT","Providence, RI"
"El Paso","TX","1600000US4824000","Lubbock, TX","McAllen, TX","Provo, UT","Tulsa, OK","Topeka, KS","Eugene, OR","Spokane, WA","Indianapolis, IN","Green Bay, WI","Fort Wayne, IN","Tampa, FL","Orlando, FL","High Point, NC","Greensboro, NC","Wilmington (NC), NC"
"Elgin","IL","1600000US1723074","Chicago, IL","Joliet, IL","Sterling Heights, MI","Baltimore, MD","Lakewood, CO","Austin, TX","Pembroke Pines, FL","Surprise, AZ","Henderson, NV","Riverside, CA","Oceanside, CA","Kent, WA","Vallejo, CA","Santa Rosa, CA","Honolulu, HI"
"Elizabeth","NJ","1600000US3421000","Philadelphia, PA","New Haven, CT","Wilmington (DE), DE","Providence, RI","Lowell, MA","Pittsburgh, PA","Baton Rouge, LA","Amarillo, TX","Brownsville, TX","El Paso, TX","Pomona, CA","Santa Ana, CA","Inglewood, CA","Modesto, CA","Salinas, CA"
"Elk Grove","CA","1600000US0622020","Roseville, CA","Santa Clarita, CA","Torrance, CA","Rancho Cucamonga, CA","Orange, CA","Huntington Beach, CA","Murrieta, CA","Temecula, CA","Plano, TX","McKinney, TX","Olathe, KS","Corpus Christi, TX","Ann Arbor, MI","Charleston (SC), SC","Stamford, CT"
"Escondido","CA","1600000US0622804","Las Vegas, NV","Visalia, CA","Tempe, AZ","Sacramento, CA","West Valley City, UT","Vancouver, WA","Tacoma, WA","Everett, WA","Irving, TX","Garland, TX","Mesquite, TX","Lincoln, NE","Omaha, NE","Fort Lauderdale, FL","Boston, MA"
"Eugene","OR","1600000US4123850","Spokane, WA","Stockton, CA","Provo, UT","Green Bay, WI","McAllen, TX","Fort Wayne, IN","Warren, MI","Cleveland, OH","Richmond (VA), VA","Norfolk, VA","Wilmington (NC), NC","Tampa, FL","Waterbury, CT","Orlando, FL","Cambridge, MA"
"Evansville","IN","1600000US1822000","Clarksville, TN","Memphis, TN","Knoxville, TN","South Bend, IN","Rockford, IL","Springfield (MO), MO","Toledo, OH","Lansing, MI","Shreveport, LA","Savannah, GA","New Orleans, LA","Pueblo, CO","Albuquerque, NM","Tucson, AZ","San Bernardino, CA"
"Everett","WA","1600000US5322640","Vancouver, WA","El Monte, CA","Tempe, AZ","Mesa, AZ","Lincoln, NE","Omaha, NE","Mesquite, TX","Springfield (IL), IL","Killeen, TX","Pasadena (TX), TX","Murfreesboro, TN","Birmingham, AL","Newport News, VA","Hampton, VA","Boston, MA"
"Fairfield","CA","1600000US0623182","Hayward, CA","San Buenaventura, CA","Corona, CA","West Jordan, UT","Peoria (AZ), AZ","Westminster, CO","Thornton, CO","Midland, TX","Arlington, TX","Rochester (MN), MN","Cedar Rapids, IA","Atlanta, GA","Virginia Beach, VA","Coral Springs, FL","Miramar, FL"
"Fargo","ND","1600000US3825700","Peoria (IL), IL","Wichita, KS","Detroit, MI","Dayton, OH","Salt Lake City, UT","Little Rock, AR","Killeen, TX","Lafayette, LA","Columbia (SC), SC","Reno, NV","Portland (ME), ME","Victorville, CA","Lancaster, CA","Clearwater, FL","West Palm Beach, FL"
"Fayetteville","NC","1600000US3722920","High Point, NC","Wilmington (NC), NC","Columbia (SC), SC","Columbus (OH), OH","Akron, OH","Montgomery, AL","Orlando, FL","Palm Bay, FL","Fort Wayne, IN","Green Bay, WI","Independence, MO","Tulsa, OK","Topeka, KS","Wichita Falls, TX","Lubbock, TX"
"Fontana","CA","1600000US0624680","Corona, CA","Fullerton, CA","San Buenaventura, CA","Hayward, CA","Santa Rosa, CA","Westminster, CO","Thornton, CO","Arlington, TX","Austin, TX","Cincinnati, OH","Coral Springs, FL","Pembroke Pines, FL","Miramar, FL","Burlington, VT","Honolulu, HI"
"Fort Collins","CO","1600000US0827425","Lakewood, CO","Centennial, CO","Columbia (MO), MO","Grand Prairie, TX","Moreno Valley, CA","Riverside, CA","Ontario, CA","Madison, WI","Chicago, IL","Antioch, CA","Vallejo, CA","Richmond (CA), CA","Raleigh, NC","Baltimore, MD","Manchester, NH"
"Fort Lauderdale","FL","1600000US1224000","Mesquite, TX","Garland, TX","Irving, TX","Omaha, NE","Lincoln, NE","St. Paul, MN","Tempe, AZ","West Valley City, UT","Las Vegas, NV","Visalia, CA","Modesto, CA","Sacramento, CA","Eugene, OR","Vancouver, WA","Tacoma, WA"
