"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Omaha","NE","1600000US3137000","1600000US3502000","1600000US1304000","1600000US3755000","1600000US0446000","1600000US4824000"
"Ontario","CA","1600000US0653896","1600000US0665000","1600000US0633000","1600000US0669088","1600000US1608830","1600000US4837000"
"Orange","CA","1600000US0653980","1600000US0680000","1600000US5101000","1600000US0628000","1600000US0616532","1600000US0619766"
"Orlando","FL","1600000US1253000","1600000US2255000","1600000US3728000","1600000US1825000","1600000US4075000","1600000US2146027"
"Overland Park","KS","1600000US2053775","1600000US1921000","1600000US0541000","1600000US4659020","1600000US0137000","1600000US5116000"
"Oxnard","CA","1600000US0654652","1600000US0630000","1600000US0629000","1600000US0636000","1600000US0658072","1600000US0664224"
"Palm Bay","FL","1600000US1254000","1600000US1225175","1600000US1369000","1600000US4516000","1600000US3731400","1600000US1871000"
"Palmdale","CA","1600000US0655156","1600000US0640130","1600000US3251800","1600000US3260600","1600000US4967000","1600000US4830464"
"Pasadena (CA)","CA","1600000US0656000","1600000US0608954","1600000US0684200","1600000US0619766","1600000US0628000","1600000US0616532"
"Pasadena (TX)","TX","1600000US4856000","1600000US4837000","1600000US2205000","1600000US4841464","1600000US0827425","1600000US5156000"
"Paterson","NJ","1600000US3457000","1600000US3421000","1600000US0622230","1600000US0636546","1600000US0652526","1600000US0606000"
"Pembroke Pines","FL","1600000US1255775","1600000US1703012","1600000US0624680","1600000US0616350","1600000US0670098","1600000US1224000"
"Peoria (AZ)","AZ","1600000US0454050","1600000US0465000","1600000US3251800","1600000US0655156","1600000US3260600","1600000US2053775"
"Peoria (IL)","IL","1600000US1759000","1600000US1772000","1600000US1919000","1600000US1912000","1600000US3825700","1600000US3006550"
"Philadelphia","PA","1600000US4260000","1600000US4819000","1600000US4835000","1600000US0455000","1600000US4865000","1600000US0666000"
"Phoenix","AZ","1600000US0455000","1600000US4819000","1600000US4835000","1600000US4865000","1600000US0666000","1600000US0644000"
"Pittsburgh","PA","1600000US4261000","1600000US3611000","1600000US7276770","1600000US2758000","1600000US2743000","1600000US0602000"
"Plano","TX","1600000US4858016","1600000US0412000","1600000US4804000","1600000US3128000","1600000US1263000","1600000US3915000"
"Pomona","CA","1600000US0658072","1600000US0629000","1600000US0630000","1600000US0664224","1600000US0648354","1600000US0654652"
"Ponce","PR","1600000US7263820","1600000US1254000","1600000US1225175","1600000US3774440","1600000US1369000","1600000US4516000"
"Port St. Lucie","FL","1600000US1258715","1600000US1210275","1600000US1270600","1600000US1319000","1600000US3719000","1600000US4830464"
"Portland (ME)","ME","1600000US2360545","1600000US3345140","1600000US5010675","1600000US0980000","1600000US5135000","1600000US4847892"
"Portland (OR)","OR","1600000US4159000","1600000US0664000","1600000US3240000","1600000US0820000","1600000US0627000","1600000US2622000"
"Providence","RI","1600000US4459000","1600000US3663000","1600000US1230000","1600000US7206593","1600000US7214290","1600000US0658072"
"Provo","UT","1600000US4962470","1600000US4983470","1600000US0843000","1600000US0682954","1600000US0681666","1600000US4845384"
"Pueblo","CO","1600000US0862000","1600000US4879000","1600000US2071000","1600000US4801000","1600000US2036000","1600000US3921000"
"Raleigh","NC","1600000US3755000","1600000US1304000","1600000US3137000","1600000US3502000","1600000US0446000","1600000US4824000"
"Rancho Cucamonga","CA","1600000US0659451","1600000US0624680","1600000US0616350","1600000US0670098","1600000US5370000","1600000US1703012"
"Reno","NV","1600000US3260600","1600000US3251800","1600000US0640130","1600000US0655156","1600000US0454050","1600000US4803000"
"Richmond (CA)","CA","1600000US0660620","1600000US0681666","1600000US0682954","1600000US0623182","1600000US4983470","1600000US4847892"
"Richmond (VA)","VA","1600000US5167000","1600000US3901000","1600000US2205000","1600000US4841464","1600000US5367000","1600000US0665000"
"Riverside","CA","1600000US0662000","1600000US0203000","1600000US0804000","1600000US0603526","1600000US4817000","1600000US1825000"
"Rochester (MN)","MN","1600000US2754880","1600000US1738570","1600000US1912000","1600000US1919000","1600000US4848072","1600000US4513330"
"Rochester (NY)","NY","1600000US3663000","1600000US4459000","1600000US1230000","1600000US7206593","1600000US7214290","1600000US0658072"
"Rockford","IL","1600000US1765000","1600000US2970000","1600000US1921000","1600000US4659020","1600000US4740000","1600000US4810768"
"Roseville","CA","1600000US0662938","1600000US0678120","1600000US0623182","1600000US0602252","1600000US4982950","1600000US0973000"
"Sacramento","CA","1600000US0664000","1600000US3240000","1600000US4159000","1600000US0820000","1600000US0627000","1600000US2622000"
"Salem","OR","1600000US4164900","1600000US5374060","1600000US1608830","1600000US4123850","1600000US0653896","1600000US4837000"
"Salinas","CA","1600000US0664224","1600000US0648354","1600000US0630000","1600000US0658072","1600000US0629000","1600000US0654652"
"Salt Lake City","UT","1600000US4967000","1600000US3251800","1600000US3260600","1600000US0454050","1600000US0640130","1600000US0541000"
"San Antonio","TX","1600000US4865000","1600000US4819000","1600000US4835000","1600000US0455000","1600000US0666000","1600000US0644000"
"San Bernardino","CA","1600000US0665000","1600000US0653896","1600000US0633000","1600000US0669088","1600000US4123850","1600000US4841464"
"San Buenaventura","CA","1600000US0665042","1600000US0616000","1600000US5335415","1600000US1214400","1600000US1245975","1600000US0622804"
"San Diego","CA","1600000US0666000","1600000US4819000","1600000US4835000","1600000US0455000","1600000US4865000","1600000US0644000"
"San Francisco","CA","1600000US0667000","1600000US4827000","1600000US1836003","1600000US1235000","1600000US4805000","1600000US3712000"
"San Jose","CA","1600000US0668000","1600000US4819000","1600000US4835000","1600000US0455000","1600000US4865000","1600000US0666000"
"San Juan","PR","1600000US7276770","1600000US4261000","1600000US3611000","1600000US2758000","1600000US2743000","1600000US0602000"
"Santa Ana","CA","1600000US0669000","1600000US0203000","1600000US0804000","1600000US0603526","1600000US4817000","1600000US1825000"
"Santa Clara","CA","1600000US0669084","1600000US0677000","1600000US0680000","1600000US0653980","1600000US5101000","1600000US0608954"
"Santa Clarita","CA","1600000US0669088","1600000US0622020","1600000US0636770","1600000US0633000","1600000US1608830","1600000US4837000"
"Santa Rosa","CA","1600000US0670098","1600000US0624680","1600000US0616350","1600000US0659451","1600000US5370000","1600000US1703012"
