"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Corona","CA","1600000US0616350","Murrieta, CA","Charleston (SC), SC","Roseville, CA","Overland Park, KS","Rancho Cucamonga, CA","Pasadena (CA), CA","Olathe, KS","Atlanta, GA","Scottsdale, AZ","Cedar Rapids, IA","Orange, CA","Elk Grove, CA","Stamford, CT","Seattle, WA","West Jordan, UT"
"Corpus Christi","TX","1600000US4817000","Durham, NC","Murfreesboro, TN","Carlsbad, CA","Springfield (IL), IL","Birmingham, AL","Boston, MA","Port St. Lucie, FL","Newport News, VA","Lexington-Fayette, KY","Lincoln, NE","North Las Vegas, NV","Hampton, VA","Denton, TX","Sioux Falls, SD","Palmdale, CA"
"Costa Mesa","CA","1600000US0616532","Fullerton, CA","Burlington, VT","West Covina, CA","Corona, CA","San Buenaventura, CA","Cincinnati, OH","Fontana, CA","Downey, CA","Seattle, WA","Coral Springs, FL","Miramar, FL","Austin, TX","Thornton, CO","Anchorage, AK","Oxnard, CA"
"Dallas","TX","1600000US4819000","Concord, CA","El Paso, TX","Indianapolis, IN","San Antonio, TX","Phoenix, AZ","Tampa, FL","Alexandria, VA","Fresno, CA","Tulsa, OK","Wichita, KS","Fort Wayne, IN","Norfolk, VA","Spokane, WA","Houston, TX","Stockton, CA"
"Daly City","CA","1600000US0617918","Cape Coral, FL","Washington, DC","Billings, MT","San Francisco, CA","Torrance, CA","West Covina, CA","Pasadena (CA), CA","Seattle, WA","Dallas, TX","Huntington Beach, CA","Downey, CA","Orange, CA","Fullerton, CA","Burlington, VT","Norwalk, CA"
"Davenport","IA","1600000US1919000","Lancaster, CA","Salt Lake City, UT","Clearwater, FL","Anaheim, CA","Charlotte, NC","Reno, NV","Little Rock, AR","Victorville, CA","Killeen, TX","West Palm Beach, FL","Fargo, ND","Lafayette, LA","Denton, TX","Huntsville, AL","Des Moines, IA"
"Dayton","OH","1600000US3921000","Boise City, ID","Gainesville, FL","Colorado Springs, CO","Jackson, MS","Carrollton, TX","Detroit, MI","Buffalo, NY","Waco, TX","Springfield (MO), MO","Beaumont, TX","Rochester (NY), NY","Toledo, OH","Clarksville, TN","Syracuse, NY","Knoxville, TN"
"Denton","TX","1600000US4819972","Port St. Lucie, FL","Charlotte, NC","Huntsville, AL","Springfield (IL), IL","Lexington-Fayette, KY","Carlsbad, CA","Anaheim, CA","Dayton, OH","Lancaster, CA","Hampton, VA","Salt Lake City, UT","Costa Mesa, CA","Durham, NC","Clearwater, FL","Newport News, VA"
"Denver","CO","1600000US0820000","Portland (OR), OR","Arvada, CO","Moreno Valley, CA","Garland, TX","Tacoma, WA","Ontario, CA","Chattanooga, TN","West Valley City, UT","Irving, TX","Raleigh, NC","Visalia, CA","Richmond (CA), CA","Manchester, NH","Sacramento, CA","Fort Worth, TX"
"Des Moines","IA","1600000US1921000","Lafayette, LA","Fargo, ND","Reno, NV","Wichita, KS","Peoria (IL), IL","Portland (ME), ME","West Palm Beach, FL","Little Rock, AR","Killeen, TX","Salem, OR","Victorville, CA","Salt Lake City, UT","Lancaster, CA","Anaheim, CA","Cambridge, MA"
