"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Jacksonville","FL","1600000US1235000","Fort Worth, TX","Indianapolis, IN","Austin, TX","Charlotte, NC","Columbus (OH), OH"
"Jersey City","NJ","1600000US3436000","Anchorage, AK","Aurora (CO), CO","Bakersfield, CA","Corpus Christi, TX","Fort Wayne, IN"
"Joliet","IL","1600000US1738570","Rochester (MN), MN","Peoria (IL), IL","Davenport, IA","Fargo, ND","Midland, TX"
"Kansas City (KS)","KS","1600000US2036000","Independence, MO","Topeka, KS","Columbia (MO), MO","Green Bay, WI","Palm Bay, FL"
"Kansas City (MO)","MO","1600000US2938000","Oklahoma City, OK","Colorado Springs, CO","Memphis, TN","Virginia Beach, VA","Tucson, AZ"
"Kent","WA","1600000US5335415","Concord, CA","San Buenaventura, CA","Coral Springs, FL","Miramar, FL","Gresham, OR"
"Killeen","TX","1600000US4839148","Denton, TX","Norman, OK","Lafayette, LA","Clarksville, TN","Charleston (WV), WV"
"Knoxville","TN","1600000US4740000","Chattanooga, TN","Winston-Salem, NC","Birmingham, AL","Rockford, IL","Lubbock, TX"
"Lafayette","LA","1600000US2240735","Killeen, TX","Denton, TX","Norman, OK","Murfreesboro, TN","Cheyenne, WY"
"Lakewood","CO","1600000US0843000","West Valley City, UT","Arvada, CO","Westminster, CO","Mesquite, TX","Everett, WA"
"Lancaster","CA","1600000US0640130","Palmdale, CA","North Las Vegas, NV","Reno, NV","Salt Lake City, UT","Grand Prairie, TX"
"Lansing","MI","1600000US2646000","Evansville, IN","Sterling Heights, MI","Elgin, IL","Burlington, VT","McAllen, TX"
"Laredo","TX","1600000US4841464","Baton Rouge, LA","San Bernardino, CA","Akron, OH","Richmond (VA), VA","Spokane, WA"
"Las Vegas","NV","1600000US3240000","Sacramento, CA","Denver, CO","Portland (OR), OR","Fresno, CA","Detroit, MI"
