"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Hialeah","FL","1600000US1230000","Birmingham, AL","Cape Coral, FL","Columbus (GA), GA","Fayetteville, NC","Mobile, AL"
"High Point","NC","1600000US3731400","Columbia (SC), SC","Dayton, OH","Savannah, GA","Wilmington (NC), NC","Charleston (SC), SC"
"Hollywood","FL","1600000US1232000","Charleston (SC), SC","Columbia (SC), SC","Gainesville, FL","Palm Bay, FL","Savannah, GA"
"Honolulu","HI","1600000US1571550","Bakersfield, CA","Stockton, CA","Elk Grove, CA","Eugene, OR","Fremont, CA"
"Houston","TX","1600000US4835000","Dallas, TX","San Antonio, TX","Austin, TX","Fort Worth, TX","Arlington, TX"
"Huntington Beach","CA","1600000US0636000","Irvine, CA","Ontario, CA","San Bernardino, CA","Corona, CA","Fontana, CA"
"Huntsville","AL","1600000US0137000","Little Rock, AR","Birmingham, AL","Chattanooga, TN","Columbus (GA), GA","Jackson, MS"
"Independence","MO","1600000US2935000","Columbia (MO), MO","Kansas City (KS), KS","Topeka, KS","Cedar Rapids, IA","Davenport, IA"
"Indianapolis","IN","1600000US1836003","Columbus (OH), OH","Chicago, IL","Detroit, MI","Milwaukee, WI","Cincinnati, OH"
"Inglewood","CA","1600000US0636546","Thousand Oaks, CA","Simi Valley, CA","Burbank, CA","Costa Mesa, CA","Downey, CA"
"Irvine","CA","1600000US0636770","Ontario, CA","San Bernardino, CA","Corona, CA","Fontana, CA","Moreno Valley, CA"
"Irving","TX","1600000US4837000","Amarillo, TX","Grand Prairie, TX","Little Rock, AR","Lubbock, TX","McKinney, TX"
"Jackson","MS","1600000US2836000","Birmingham, AL","Chattanooga, TN","Columbus (GA), GA","Mobile, AL","Montgomery, AL"
"Jacksonville","FL","1600000US1235000","Charlotte, NC","Atlanta, GA","Miami, FL","Orlando, FL","St. Petersburg, FL"
"Jersey City","NJ","1600000US3436000","Newark, NJ","Baltimore, MD","Boston, MA","Newport News, VA","Providence, RI"
"Joliet","IL","1600000US1738570","Rochester (MN), MN","Cedar Rapids, IA","Davenport, IA","Peoria (IL), IL","Springfield (IL), IL"
"Kansas City (KS)","KS","1600000US2036000","Columbia (MO), MO","Independence, MO","Topeka, KS","Cedar Rapids, IA","Davenport, IA"
"Kansas City (MO)","MO","1600000US2938000","Memphis, TN","Oklahoma City, OK","Omaha, NE","Lincoln, NE","St. Louis, MO"
"Kent","WA","1600000US5335415","Billings, MT","Antioch, CA","Bellevue, WA","Everett, WA","Fairfield, CA"
"Killeen","TX","1600000US4839148","Denton, TX","Lafayette, LA","Norman, OK","Abilene, TX","Beaumont, TX"
"Knoxville","TN","1600000US4740000","Birmingham, AL","Chattanooga, TN","Columbus (GA), GA","Fayetteville, NC","Montgomery, AL"
"Lafayette","LA","1600000US2240735","Denton, TX","Killeen, TX","Beaumont, TX","Waco, TX","Frisco, TX"
